use_dt,bus_route_id,bus_route_no,bus_route_nm,stnd_bsst_id,bsst_ars_no,bus_sta_id,bus_sta_nm,ride_pasgr_num,alight_pasgr_num,work_dt,work_dttm
"20190901","11110002","101","101번(화계사~동대문)","105000092","06178","0072500","대광고등학교앞","80","122","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","105000091","06177","0072501","안암오거리","182","284","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","105000090","06176","0072502","우신향병원","132","138","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","105000089","06175","0072503","고려대학교앞","140","137","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000065","08155","0072504","숭례초등학교","175","311","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000061","08151","0072506","종암경찰서","216","200","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","108000014","09102","0072563","우이동도선사입구.북한산우이역","74","0","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","108000015","09103","0072564","우이동성원아파트","39","0","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","108000011","09011","0072572","미아사거리역","532","356","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000058","08148","0072573","성가복지병원","181","226","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","107000059","08149","0072591","성가복지병원","195","248","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","108000016","09104","0072599","우이동성원아파트","0","32","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000236","10325","0072602","동아운수앞","0","47","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000119","10204","0073108","초당초등학교","348","36","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000121","10206","0073109","방학동우성아파트","225","13","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000125","10210","0073110","쌍문동성원아파트","260","40","20190904",""
"20190901","11110002","101","101번(화계사~동대문)","109000129","10214","0073112","쌍문동삼익금호1차아파트","465","82","20190904",""
